Component Name,Comerciant,Datasheet
112A-TAAR-R03,112A-TAAR-R03,Datasheet
BD5229G-TR,BD5229G-TR,Datasheet
Capacitor 0402,Capacitor 0402,Datasheet
CPH3225A,CPH3225A,Datasheet
DS3231SN RTC,DS3231SN RTC,Datasheet
ESP32 WROVER 0805 Capacitor,ESP32 WROVER 0805 Capacitor,Datasheet
ESP32 WROVER BME680 Sensor,ESP32 WROVER BME680 Sensor,Datasheet
ESP32 WROVER MCP73831 Power Management,ESP32 WROVER MCP73831 Power Management,Datasheet
ESP32 WROVER P-Channel MOSFET,ESP32 WROVER P-Channel MOSFET,Datasheet
ESP32C6 Varistor 1812,ESP32C6 Varistor 1812,Datasheet
ESP32-C6 WROOM-1-N8,ESP32-C6 WROOM-1-N8,Datasheet
FH34SRJ-24S-0.5SH Connector,FH34SRJ-24S-0.5SH Connector,Datasheet
LED Chip 0603,LED Chip 0603,Datasheet
MAX17048G+T10 Battery Fuel Gauge,MAX17048G+T10 Battery Fuel Gauge,Datasheet
MBR0530 Schottky Diode,MBR0530 Schottky Diode,Datasheet
PGB1010603MR Inductor,PGB1010603MR Inductor,Datasheet
QWIIC Connector,QWIIC Connector,Datasheet
RCL CPOL 3528,RCL CPOL 3528,Datasheet
SI1308EDL-T1-GE3 MOSFET,SI1308EDL-T1-GE3 MOSFET,Datasheet
SJ,SJ,Datasheet
TPTP20R,TPTP20R,Datasheet
USB4110-GF-A USB Hub,USB4110-GF-A USB Hub,Datasheet
USBLC6-2SC6Y USB Surge Protection,USBLC6-2SC6Y USB Surge Protection,Datasheet
XC6220A331MR-G Voltage Regulator,XC6220A331MR-G Voltage Regulator,Datasheet
